Cylinder #, Time Hit, Date
017,13:02:22.6313 PM,2023/12/04
016,13:02:23.2092 PM,2023/12/04
015,13:02:23.4432 PM,2023/12/04
014,13:02:23.6221 PM,2023/12/04
013,13:02:23.7784 PM,2023/12/04
012,13:02:23.9351 PM,2023/12/04
011,13:02:24.1013 PM,2023/12/04
021,13:02:24.2681 PM,2023/12/04
022,13:02:24.3903 PM,2023/12/04
023,13:02:24.5129 PM,2023/12/04
024,13:02:24.6242 PM,2023/12/04
025,13:02:24.7242 PM,2023/12/04
026,13:02:24.8128 PM,2023/12/04
027,13:02:24.8907 PM,2023/12/04
028,13:02:25.0895 PM,2023/12/04
029,13:02:25.1150 PM,2023/12/04
030,13:02:25.1916 PM,2023/12/04
031,13:02:25.4794 PM,2023/12/04
032,13:02:25.6021 PM,2023/12/04
033,13:02:25.7129 PM,2023/12/04
034,13:02:25.8021 PM,2023/12/04
035,13:02:25.9019 PM,2023/12/04
036,13:02:26.0019 PM,2023/12/04
037,13:02:26.1243 PM,2023/12/04
038,13:02:26.2573 PM,2023/12/04
039,13:02:26.3913 PM,2023/12/04
040,13:02:26.5462 PM,2023/12/04
010,13:02:26.7241 PM,2023/12/04
009,13:02:26.7792 PM,2023/12/04
008,13:02:26.9462 PM,2023/12/04
007,13:02:27.0903 PM,2023/12/04
006,13:02:27.2241 PM,2023/12/04
005,13:02:27.3241 PM,2023/12/04
004,13:02:27.4128 PM,2023/12/04
003,13:02:27.5014 PM,2023/12/04
002,13:02:27.6133 PM,2023/12/04
001,13:02:27.8017 PM,2023/12/04
020,13:02:27.8240 PM,2023/12/04
019,13:02:28.0462 PM,2023/12/04
018,13:02:28.1681 PM,2023/12/04
