Cylinder #, Time Hit, Date
014,20:04:52.3902 PM,2023/12/05
013,20:05:01.2404 PM,2023/12/05
012,20:05:01.8849 PM,2023/12/05
011,20:05:02.2046 PM,2023/12/05
010,20:05:02.5458 PM,2023/12/05
020,20:05:02.9716 PM,2023/12/05
018,20:05:03.3672 PM,2023/12/05
019,20:05:03.7566 PM,2023/12/05
002,20:05:04.0779 PM,2023/12/05
007,20:05:04.5344 PM,2023/12/05
005,20:05:04.8668 PM,2023/12/05
008,20:05:05.1227 PM,2023/12/05
009,20:05:05.4111 PM,2023/12/05
016,20:05:05.6887 PM,2023/12/05
ere,20:05:06.0327 PM,2023/12/05
017,20:05:06.3442 PM,2023/12/05
023,20:05:06.6330 PM,2023/12/05
024,20:05:06.8441 PM,2023/12/05
021,20:05:07.0763 PM,2023/12/05
015,20:05:07.2772 PM,2023/12/05
022,20:05:07.5661 PM,2023/12/05
037,20:05:07.8652 PM,2023/12/05
036,20:05:08.1982 PM,2023/12/05
038,20:05:08.4982 PM,2023/12/05
039,20:05:08.8323 PM,2023/12/05
040,20:05:09.1095 PM,2023/12/05
026,20:05:09.3979 PM,2023/12/05
027,20:05:09.6428 PM,2023/12/05
025,20:05:10.0431 PM,2023/12/05
035,20:05:10.3872 PM,2023/12/05
034,20:05:10.7201 PM,2023/12/05
033,20:05:10.9547 PM,2023/12/05
032,20:05:11.3641 PM,2023/12/05
031,20:05:11.7303 PM,2023/12/05
041,20:05:11.9861 PM,2023/12/05
004,20:05:12.2636 PM,2023/12/05
030,20:05:12.5751 PM,2023/12/05
006,20:05:12.9296 PM,2023/12/05
001,20:05:13.2741 PM,2023/12/05
003,20:05:13.6744 PM,2023/12/05
028,20:05:13.9515 PM,2023/12/05
029,20:05:14.2182 PM,2023/12/05
