Cylinder #, Time Hit, Date
030,12:41:23.3222 PM,2023/12/03
029,12:41:23.4009 PM,2023/12/03
028,12:41:23.8870 PM,2023/12/03
027,12:41:24.1075 PM,2023/12/03
026,12:41:24.3094 PM,2023/12/03
025,12:41:24.4851 PM,2023/12/03
024,12:41:24.6258 PM,2023/12/03
023,12:41:24.7480 PM,2023/12/03
022,12:41:24.8706 PM,2023/12/03
021,12:41:24.9930 PM,2023/12/03
011,12:41:25.1259 PM,2023/12/03
012,12:41:25.3264 PM,2023/12/03
013,12:41:25.4813 PM,2023/12/03
020,12:41:26.3194 PM,2023/12/03
019,12:41:26.5641 PM,2023/12/03
018,12:41:26.6750 PM,2023/12/03
017,12:41:26.7639 PM,2023/12/03
016,12:41:26.8640 PM,2023/12/03
015,12:41:26.9760 PM,2023/12/03
014,12:41:27.1084 PM,2023/12/03
001,12:41:28.1314 PM,2023/12/03
002,12:41:28.4423 PM,2023/12/03
003,12:41:28.6649 PM,2023/12/03
004,12:41:28.7422 PM,2023/12/03
005,12:41:28.8195 PM,2023/12/03
006,12:41:28.8972 PM,2023/12/03
007,12:41:28.9861 PM,2023/12/03
008,12:41:29.0861 PM,2023/12/03
009,12:41:29.1977 PM,2023/12/03
010,12:41:29.4316 PM,2023/12/03
040,12:41:29.4422 PM,2023/12/03
039,12:41:29.6655 PM,2023/12/03
038,12:41:29.8655 PM,2023/12/03
037,12:41:29.9538 PM,2023/12/03
036,12:41:30.0323 PM,2023/12/03
035,12:41:30.1212 PM,2023/12/03
034,12:41:30.1979 PM,2023/12/03
033,12:41:30.2981 PM,2023/12/03
032,12:41:30.3989 PM,2023/12/03
031,12:41:30.5099 PM,2023/12/03
