Cylinder #, Time Hit, Date
011,12:22:24.2872 PM,2023/12/05
021,12:22:24.4946 PM,2023/12/05
023,12:22:24.7471 PM,2023/12/05
024,12:22:24.8141 PM,2023/12/05
022,12:22:25.1362 PM,2023/12/05
025,12:22:25.6251 PM,2023/12/05
026,12:22:25.7249 PM,2023/12/05
027,12:22:25.8582 PM,2023/12/05
028,12:22:25.9796 PM,2023/12/05
029,12:22:26.0577 PM,2023/12/05
030,12:22:26.1471 PM,2023/12/05
031,12:22:26.3020 PM,2023/12/05
032,12:22:26.3795 PM,2023/12/05
033,12:22:26.4910 PM,2023/12/05
034,12:22:26.5910 PM,2023/12/05
035,12:22:26.7023 PM,2023/12/05
036,12:22:26.8023 PM,2023/12/05
037,12:22:26.8913 PM,2023/12/05
038,12:22:26.9680 PM,2023/12/05
039,12:22:27.0352 PM,2023/12/05
040,12:22:27.1136 PM,2023/12/05
010,12:22:27.3570 PM,2023/12/05
009,12:22:27.5343 PM,2023/12/05
008,12:22:27.6575 PM,2023/12/05
007,12:22:27.7681 PM,2023/12/05
006,12:22:27.8573 PM,2023/12/05
005,12:22:27.9572 PM,2023/12/05
004,12:22:28.0462 PM,2023/12/05
002,12:22:28.3902 PM,2023/12/05
001,12:22:28.4345 PM,2023/12/05
003,12:22:28.7350 PM,2023/12/05
019,12:22:29.1791 PM,2023/12/05
018,12:22:29.3446 PM,2023/12/05
017,12:22:29.5492 PM,2023/12/05
016,12:22:29.5870 PM,2023/12/05
015,12:22:29.6076 PM,2023/12/05
014,12:22:29.6683 PM,2023/12/05
013,12:22:29.7344 PM,2023/12/05
012,12:22:50.5962 PM,2023/12/05
020,12:22:52.5952 PM,2023/12/05
