Cylinder #, Time Hit, Date
013,20:49:21.8732 PM,2023/12/05
012,20:49:22.3944 PM,2023/12/05
011,20:49:22.7718 PM,2023/12/05
010,20:49:23.1389 PM,2023/12/05
020,20:49:23.5830 PM,2023/12/05
018,20:49:23.7829 PM,2023/12/05
002,20:49:24.3379 PM,2023/12/05
007,20:49:24.7599 PM,2023/12/05
019,20:49:25.8260 PM,2023/12/05
005,20:49:26.7772 PM,2023/12/05
008,20:49:27.4841 PM,2023/12/05
009,20:49:28.0588 PM,2023/12/05
016,20:49:28.4923 PM,2023/12/05
ere,20:49:29.0688 PM,2023/12/05
017,20:49:29.3358 PM,2023/12/05
023,20:49:29.5690 PM,2023/12/05
024,20:49:29.7804 PM,2023/12/05
021,20:49:30.0352 PM,2023/12/05
015,20:49:30.2688 PM,2023/12/05
022,20:49:30.6461 PM,2023/12/05
037,20:49:31.3949 PM,2023/12/05
036,20:49:31.9679 PM,2023/12/05
038,20:49:32.4451 PM,2023/12/05
039,20:49:32.8680 PM,2023/12/05
040,20:49:33.1341 PM,2023/12/05
026,20:49:33.5339 PM,2023/12/05
027,20:49:33.8900 PM,2023/12/05
025,20:49:34.2001 PM,2023/12/05
035,20:49:34.7002 PM,2023/12/05
034,20:49:35.0778 PM,2023/12/05
033,20:49:36.5878 PM,2023/12/05
032,20:49:37.0988 PM,2023/12/05
031,20:49:37.7540 PM,2023/12/05
041,20:49:38.2099 PM,2023/12/05
004,20:49:38.6648 PM,2023/12/05
030,20:49:39.0536 PM,2023/12/05
006,20:49:39.4199 PM,2023/12/05
001,20:49:39.7863 PM,2023/12/05
003,20:49:40.0638 PM,2023/12/05
028,20:49:40.5530 PM,2023/12/05
029,20:49:40.8969 PM,2023/12/05
014,20:49:41.2421 PM,2023/12/05
