Cylinder #, Time Hit, Date
008,13:01:24.7029 PM,2023/12/04
009,13:01:24.8475 PM,2023/12/04
010,13:01:25.1032 PM,2023/12/04
011,13:01:25.2361 PM,2023/12/04
012,13:01:25.3696 PM,2023/12/04
013,13:01:25.5028 PM,2023/12/04
014,13:01:25.6363 PM,2023/12/04
015,13:01:25.7474 PM,2023/12/04
016,13:01:25.8585 PM,2023/12/04
017,13:01:25.9695 PM,2023/12/04
018,13:01:26.0920 PM,2023/12/04
019,13:01:26.2028 PM,2023/12/04
020,13:01:26.3363 PM,2023/12/04
021,13:01:26.4474 PM,2023/12/04
022,13:01:26.5740 PM,2023/12/04
023,13:01:26.6808 PM,2023/12/04
024,13:01:26.7914 PM,2023/12/04
025,13:01:26.9584 PM,2023/12/04
026,13:01:27.1138 PM,2023/12/04
027,13:01:27.2474 PM,2023/12/04
028,13:01:27.3806 PM,2023/12/04
029,13:01:27.5139 PM,2023/12/04
esh,13:01:27.6356 PM,2023/12/04
002,13:01:27.8696 PM,2023/12/04
003,13:01:28.0251 PM,2023/12/04
004,13:01:28.1922 PM,2023/12/04
005,13:01:28.3474 PM,2023/12/04
006,13:01:28.5028 PM,2023/12/04
007,13:01:28.6475 PM,2023/12/04
