Time, X, Y, Z, Pitch, Yaw, Roll
06:42:37.7431 PM,0.1319212,1.701519,0.5408185,343.4815,328.0882,191.2647
06:42:37.7523 PM,0.1322128,1.701909,0.540604,343.4704,328.0884,191.2541
06:42:37.7644 PM,0.1323787,1.702184,0.5404995,343.464,328.0781,191.2375
06:42:37.7761 PM,0.1321617,1.70232,0.5408457,343.4576,328.0578,191.2289
06:42:37.7893 PM,0.132302,1.702069,0.5404536,343.4301,328.0537,191.2291
06:42:37.7985 PM,0.1322086,1.70217,0.5402855,343.4315,328.0355,191.2341
06:42:37.8081 PM,0.1321323,1.702181,0.5404304,343.4249,328.0237,191.2504
06:42:37.8203 PM,0.1322663,1.702122,0.5400661,343.4078,328.0158,191.2685
06:42:37.8310 PM,0.1324783,1.702107,0.5398118,343.4055,327.9953,191.2844
06:42:37.8421 PM,0.1322545,1.702219,0.5400559,343.3971,327.9627,191.2801
06:42:37.8522 PM,0.1327783,1.702214,0.5398154,343.3457,327.9321,191.2235
06:42:37.8634 PM,0.1329599,1.702057,0.5398033,343.3359,327.9274,191.2083
06:42:37.8745 PM,0.1330641,1.702061,0.5400581,343.3145,327.9403,191.1765
06:42:37.8856 PM,0.1336488,1.701871,0.5400105,343.3029,327.9782,191.1593
06:42:37.8973 PM,0.1341423,1.701859,0.5400463,343.3127,328.028,191.1492
06:42:37.9080 PM,0.1339444,1.701919,0.5402321,343.3269,328.0765,191.1534
06:42:37.9191 PM,0.1341852,1.701807,0.5399808,343.347,328.1675,191.1417
06:42:37.9314 PM,0.1343293,1.701486,0.5398667,343.3642,328.2232,191.1262
06:42:37.9415 PM,0.1340141,1.701609,0.5401413,343.3743,328.2686,191.1081
06:42:37.9532 PM,0.1343023,1.701574,0.5399651,343.3665,328.318,191.0785
06:42:37.9633 PM,0.1344907,1.701511,0.5398213,343.3678,328.3564,191.0633
06:42:37.9745 PM,0.1343711,1.701362,0.5400883,343.3733,328.368,191.0591
06:42:37.9856 PM,0.1344865,1.701271,0.5397948,343.3754,328.3828,191.0646
06:42:37.9972 PM,0.1345203,1.701388,0.5394822,343.3896,328.3868,191.0704
06:42:38.0079 PM,0.1345116,1.70148,0.5397596,343.3962,328.3795,191.0715
06:42:38.0190 PM,0.1345745,1.701346,0.5394225,343.39,328.3731,191.0723
06:42:38.0307 PM,0.1346892,1.701517,0.5391842,343.3674,328.3624,191.0699
06:42:38.0423 PM,0.1346127,1.701569,0.5393416,343.3422,328.3462,191.0662
06:42:38.0535 PM,0.1346503,1.701242,0.5391684,343.3082,328.3349,191.0686
06:42:38.0641 PM,0.1345488,1.70108,0.5389724,343.2748,328.3167,191.0778
06:42:38.0742 PM,0.1343963,1.700916,0.5390739,343.2458,328.2921,191.0752
06:42:38.0858 PM,0.1345816,1.70048,0.5390568,343.2259,328.2649,191.069
06:42:38.0976 PM,0.1347302,1.700426,0.5389598,343.2195,328.2333,191.0509
06:42:38.1082 PM,0.134712,1.700321,0.5391227,343.2167,328.1994,191.0102
06:42:38.1189 PM,0.134432,1.699168,0.5389717,343.2307,328.1731,190.9975
06:42:38.1305 PM,0.1345296,1.69877,0.5389662,343.2326,328.1639,190.9746
06:42:38.1412 PM,0.1344334,1.698368,0.5392082,343.2216,328.168,190.9344
06:42:38.1524 PM,0.1347098,1.698099,0.539384,343.2237,328.1884,190.903
06:42:38.1635 PM,0.1348144,1.69793,0.539409,343.2241,328.1945,190.8882
06:42:38.1752 PM,0.1346571,1.697692,0.5397433,343.2247,328.2081,190.8387
06:42:38.1858 PM,0.1348617,1.697737,0.5399483,343.2156,328.2148,190.7732
06:42:38.1964 PM,0.1349926,1.697317,0.5397682,343.1419,328.1805,190.5928
06:42:38.2081 PM,0.1347181,1.697369,0.539845,342.9199,327.9937,190.1899
06:42:38.2193 PM,0.1347751,1.697352,0.5396041,342.7763,327.8307,189.956
06:42:38.2305 PM,0.1347825,1.697387,0.5395403,342.6826,327.635,189.8091
06:42:38.2422 PM,0.1348827,1.697178,0.5398796,342.6299,327.4453,189.7008
06:42:38.2523 PM,0.135177,1.697334,0.5398115,342.5565,327.3187,189.6552
06:42:38.2634 PM,0.135633,1.697451,0.5400763,342.4908,327.2382,189.6168
06:42:38.2746 PM,0.1359264,1.697125,0.5405291,342.3844,327.1877,189.6844
06:42:38.2867 PM,0.1363568,1.697396,0.5406911,342.2499,327.1337,189.6409
06:42:38.2964 PM,0.1366528,1.69759,0.5409427,342.086,327.0721,189.5241
06:42:38.3081 PM,0.1366287,1.697754,0.5412865,341.8495,326.9827,189.2872
06:42:38.3193 PM,0.1366813,1.698058,0.5413425,341.5032,326.8251,188.8105
06:42:38.3299 PM,0.1363202,1.698256,0.5411509,341.2121,326.5714,188.334
06:42:38.3411 PM,0.1358077,1.698386,0.5410633,340.8877,326.1866,187.7834
06:42:38.3533 PM,0.1355076,1.698527,0.5408164,340.5274,325.739,187.169
06:42:38.3634 PM,0.1353384,1.698396,0.5408091,340.1949,325.2845,186.6128
06:42:38.3741 PM,0.1349806,1.698327,0.5407462,339.8221,324.8075,186.2003
06:42:38.3858 PM,0.1349304,1.697975,0.5408818,339.484,324.324,185.9984
06:42:38.3975 PM,0.1349821,1.697283,0.5411416,339.2121,323.9474,185.9967
