Cylinder #, Time Hit, Date
031,12:49:08.7509 PM,2023/12/03
030,12:49:09.1496 PM,2023/12/03
029,12:49:09.3065 PM,2023/12/03
028,12:49:09.4289 PM,2023/12/03
027,12:49:09.7057 PM,2023/12/03
026,12:49:09.8279 PM,2023/12/03
025,12:49:09.9948 PM,2023/12/03
035,12:49:10.1837 PM,2023/12/03
023,12:49:10.4166 PM,2023/12/03
022,12:49:10.5945 PM,2023/12/03
021,12:49:10.7507 PM,2023/12/03
020,12:49:10.8830 PM,2023/12/03
019,12:49:11.0276 PM,2023/12/03
018,12:49:11.1839 PM,2023/12/03
017,12:49:11.2727 PM,2023/12/03
076,12:49:11.4050 PM,2023/12/03
015,12:49:11.6829 PM,2023/12/03
007,12:49:12.9946 PM,2023/12/03
006,12:49:13.9420 PM,2023/12/03
009,12:49:14.5325 PM,2023/12/03
010,12:49:16.0451 PM,2023/12/03
011,12:49:16.6339 PM,2023/12/03
013,12:49:17.0454 PM,2023/12/03
014,12:49:17.2896 PM,2023/12/03
032,12:49:20.4483 PM,2023/12/03
033,12:49:20.6602 PM,2023/12/03
034,12:49:20.9154 PM,2023/12/03
036,12:49:21.2816 PM,2023/12/03
024,12:49:21.2821 PM,2023/12/03
038,12:49:21.9707 PM,2023/12/03
040,12:49:22.1155 PM,2023/12/03
041,12:49:22.6082 PM,2023/12/03
037,12:49:23.2152 PM,2023/12/03
042,12:49:24.2707 PM,2023/12/03
043,12:49:24.7031 PM,2023/12/03
044,12:49:24.8822 PM,2023/12/03
045,12:49:25.1041 PM,2023/12/03
050,12:49:25.1490 PM,2023/12/03
046,12:49:25.2817 PM,2023/12/03
047,12:49:25.5488 PM,2023/12/03
048,12:49:25.8147 PM,2023/12/03
049,12:49:26.1254 PM,2023/12/03
051,12:49:26.6266 PM,2023/12/03
052,12:49:26.8154 PM,2023/12/03
053,12:49:27.2368 PM,2023/12/03
054,12:49:27.4489 PM,2023/12/03
055,12:49:27.6701 PM,2023/12/03
056,12:49:27.8600 PM,2023/12/03
059,12:49:28.6570 PM,2023/12/03
060,12:49:28.7342 PM,2023/12/03
058,12:49:29.1342 PM,2023/12/03
057,12:49:29.2566 PM,2023/12/03
061,12:49:30.2898 PM,2023/12/03
062,12:49:30.5229 PM,2023/12/03
063,12:49:30.8457 PM,2023/12/03
064,12:49:31.3888 PM,2023/12/03
065,12:49:31.9568 PM,2023/12/03
066,12:49:32.2454 PM,2023/12/03
067,12:49:32.5891 PM,2023/12/03
068,12:49:32.8668 PM,2023/12/03
069,12:49:33.1780 PM,2023/12/03
070,12:49:33.4454 PM,2023/12/03
071,12:49:34.1116 PM,2023/12/03
072,12:49:34.6116 PM,2023/12/03
073,12:49:34.8454 PM,2023/12/03
074,12:49:35.1776 PM,2023/12/03
075,12:49:35.3707 PM,2023/12/03
016,12:49:35.6567 PM,2023/12/03
077,12:49:36.1001 PM,2023/12/03
078,12:49:36.4562 PM,2023/12/03
079,12:49:36.8888 PM,2023/12/03
080,12:49:37.1891 PM,2023/12/03
081,12:49:37.3552 PM,2023/12/03
082,12:49:37.5107 PM,2023/12/03
084,12:49:37.8771 PM,2023/12/03
085,12:49:38.4105 PM,2023/12/03
083,12:49:38.7326 PM,2023/12/03
086,12:49:40.1780 PM,2023/12/03
087,12:49:40.5328 PM,2023/12/03
088,12:49:40.8220 PM,2023/12/03
089,12:49:41.0450 PM,2023/12/03
090,12:49:41.2219 PM,2023/12/03
091,12:49:41.4001 PM,2023/12/03
001,12:49:42.4213 PM,2023/12/03
002,12:49:42.8667 PM,2023/12/03
003,12:49:43.3228 PM,2023/12/03
004,12:49:43.8336 PM,2023/12/03
005,12:49:44.0340 PM,2023/12/03
008,12:49:44.5219 PM,2023/12/03
012,12:49:48.8001 PM,2023/12/03
