Time, X, Y, Z, Pitch, Yaw, Roll
12:49:01.7110 PM,-0.2810642,0.570293,0.2806304,357.2308,344.8268,10.37466
12:49:01.7186 PM,-0.2821003,0.5704504,0.2773653,357.2201,344.6313,10.46093
12:49:01.7287 PM,-0.283023,0.5708357,0.2740252,357.2037,344.487,10.49095
12:49:01.7398 PM,-0.2838819,0.5708428,0.2708545,357.2629,344.3515,10.52203
12:49:01.7504 PM,-0.285032,0.5715386,0.2673829,357.3073,344.2074,10.58675
12:49:01.7616 PM,-0.2861496,0.5724323,0.2639183,357.2498,344.0348,10.58984
12:49:01.7727 PM,-0.2870694,0.5727106,0.2606733,357.2251,343.8575,10.60049
12:49:01.7839 PM,-0.2884402,0.5740132,0.2569499,356.9135,343.6016,10.48532
12:49:01.7956 PM,-0.2908551,0.5791467,0.2504509,356.6398,343.3572,10.49448
12:49:01.8067 PM,-0.2920114,0.579716,0.2471601,356.3833,343.1157,10.45134
12:49:01.8169 PM,-0.2935476,0.581091,0.2431689,356.1794,342.9109,10.43527
12:49:01.8286 PM,-0.294925,0.5817472,0.2398925,356.0552,342.7338,10.42114
12:49:01.8398 PM,-0.2960935,0.5821785,0.2367811,355.9821,342.5462,10.4754
12:49:01.8499 PM,-0.2969901,0.5835872,0.2330284,355.8282,342.3301,10.51853
12:49:01.8615 PM,-0.2980814,0.5842502,0.2301121,355.6257,342.1183,10.60946
12:49:01.8737 PM,-0.299253,0.5852988,0.2269405,355.3992,341.9177,10.68076
12:49:01.8838 PM,-0.3003243,0.5867135,0.2240438,354.92,341.8017,10.89473
12:49:01.8965 PM,-0.3013905,0.5878493,0.2212991,354.4712,341.6833,11.02944
12:49:01.9062 PM,-0.3022178,0.5890079,0.2184721,354.0663,341.6262,11.14207
12:49:01.9178 PM,-0.3031799,0.5904375,0.2156248,353.7284,341.5793,11.19573
12:49:01.9290 PM,-0.3040668,0.5913429,0.2133121,353.407,341.5408,11.13555
12:49:01.9396 PM,-0.3047924,0.5927194,0.2106724,353.0323,341.4969,11.05869
12:49:01.9508 PM,-0.3068052,0.5931671,0.208431,352.6039,341.5734,11.34409
12:49:01.9620 PM,-0.3071439,0.5946797,0.2049555,352.3471,341.6241,12.06066
12:49:01.9736 PM,-0.3067833,0.5960484,0.2014862,352.139,341.6047,12.72238
12:49:01.9838 PM,-0.3067418,0.5972932,0.1983043,351.8344,341.5504,13.022
12:49:01.9950 PM,-0.3070481,0.5978697,0.1957799,351.5269,341.4695,13.01946
12:49:02.0066 PM,-0.3078515,0.5987082,0.1935581,351.221,341.3803,12.79198
12:49:02.0168 PM,-0.308217,0.5986869,0.1914751,351.2139,341.3128,12.37949
12:49:02.0285 PM,-0.3089874,0.5990176,0.1893169,351.2202,341.222,12.29544
12:49:02.0396 PM,-0.3095689,0.5989757,0.1872298,351.2849,341.1577,12.3152
