Time collected, Cylinder #, X, Y, Z, Pitch, Yaw, Roll
12:41:23,001,-1.318585,-4.794706,14.96153,356.9701,89.99372,180.1187
12:41:23,002,-1.318585,-4.794706,12.92819,356.9701,89.99372,180.1187
12:41:23,003,-1.318585,-4.794706,10.86152,356.9701,89.99372,180.1187
12:41:23,004,-1.318585,-4.794706,8.861523,356.9701,89.99372,180.1187
12:41:23,005,-1.318584,-4.794706,6.794855,356.9701,89.99374,180.1187
12:41:23,006,-1.318585,-4.794706,4.794855,356.9701,89.99372,180.1187
12:41:23,007,-1.318585,-4.794706,2.728187,356.9701,89.99372,180.1187
12:41:23,008,-1.318585,-4.794706,0.7281867,356.9701,89.99372,180.1187
12:41:23,009,-1.318585,-4.794706,-1.338481,356.9701,89.99372,180.1187
12:41:23,010,-1.318583,-4.794703,-3.313238,356.9701,89.99372,180.1187
12:41:23,011,0.7950595,-53.23653,22.51209,284.1717,89.98134,80.83159
12:41:23,012,0.3875412,-45.71123,22.53151,284.1717,89.98134,80.83159
12:41:23,013,-0.01997712,-38.06257,22.55093,284.1717,89.98134,80.83159
12:41:23,014,-0.4341761,-30.66064,22.57067,284.1717,89.98134,80.83159
12:41:23,015,-0.8350137,-23.01198,22.58977,284.1717,89.98134,80.83159
12:41:23,016,-1.249213,-15.61004,22.60951,284.1717,89.98134,80.83159
12:41:23,017,-1.656731,-7.96138,22.62893,284.1717,89.98134,80.83159
12:41:23,018,-2.071667,-0.5594485,22.64835,284.1717,89.98134,80.83159
12:41:23,019,-2.471768,7.089215,22.66777,284.1717,89.98134,80.83159
12:41:23,020,-2.879286,14.36939,22.68719,284.1717,89.98134,80.83159
12:41:23,021,-10.06315,20.24029,2.502719,356.9701,89.98703,180.2455
12:41:23,022,-10.06246,20.24029,0.4693851,356.9701,89.98703,180.2455
12:41:23,023,-10.06178,20.24029,-1.597282,356.9701,89.98703,180.2455
12:41:23,024,-10.06109,20.24028,-3.597283,356.9701,89.98703,180.2455
12:41:23,025,-10.06042,20.24028,-5.66395,356.9701,89.98703,180.2455
12:41:23,026,-10.05972,20.24028,-7.663951,356.9701,89.98703,180.2455
12:41:23,027,-10.05904,20.24028,-9.730618,356.9701,89.98703,180.2455
12:41:23,028,-10.05836,20.24028,-11.73062,356.9701,89.98703,180.2455
12:41:23,029,-10.05768,20.24027,-13.79729,356.9701,89.98703,180.2455
12:41:23,030,-10.05699,20.24027,-15.77204,356.9701,89.98703,180.2455
12:41:23,031,0.7956454,-55.15091,17.45559,284.1717,89.98134,80.83159
12:41:23,032,0.465631,-47.29361,17.47153,284.1717,89.98134,80.83159
12:41:23,033,0.1356167,-39.3075,17.48748,284.1717,89.98134,80.83159
12:41:23,034,-0.1998077,-31.579,17.50369,284.1717,89.98134,80.83159
12:41:23,035,-0.524412,-23.59289,17.51937,284.1717,89.98134,80.83159
12:41:23,036,-0.8598365,-15.86439,17.53558,284.1717,89.98134,80.83159
12:41:23,037,-1.189851,-7.878281,17.55153,284.1717,89.98134,80.83159
12:41:23,038,-1.519865,-0.1497854,17.56747,284.1717,89.98134,80.83159
12:41:23,039,-1.84988,7.836326,17.58342,284.1717,89.98134,80.83159
12:41:23,040,-2.179894,15.43763,17.59937,284.1717,89.98134,80.83159
